id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
50,"Andrew Lelling","U.S. Attorney for the District of Massachusetts",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Andrew_E._Lelling.jpg/220px-Andrew_E._Lelling.jpg,2017/12/21,1970/01/01,50,,male,"Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,Republican,0,0,1,1,0,NA,NA,1,NA,NA,NA
51,"Geoffrey Berman","U.S. Attorney for the S.D. of New York",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Geoffrey_S._Berman.jpg/220px-Geoffrey_S._Berman.jpg,NA,1959/09/12,61,Trenton,male,"University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,NA,Republican,1,0,1,0,0,NA,NA,1,NA,NA,NA
52,"John C. Anderson","U.S. Attorney for the District of New Mexico",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/John_C._Anderson_official_photo.jpg/220px-John_C._Anderson_official_photo.jpg,2018/02/23,1975/01/01,45,Smithtown,male,"Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
53,"Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri",prosecutor,https://upload.wikimedia.org/wikipedia/commons/4/42/Jeffrey_Jensen_official_photo.jpg,2017/10/06,NA,NA,,male,"Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
54,"Bart Davis","U.S. Attorney for the District of Idaho",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2017.11.10_USA_Davis_Photo_Blue_Suit.jpg/220px-2017.11.10_USA_Davis_Photo_Blue_Suit.jpg,2017/09/21,1955/03/07,65,"Rapid City",male,"Brigham Young University",NA,NA,"University of Idaho",0.212,115,0,Republican,0,0,1,0,0,NA,NA,1,NA,NA,NA
55,"David L. Anderson",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/David_L_Anderson_official.jpg/220px-David_L_Anderson_official.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
56,"Jessie K. Liu","U.S. Attorney for the District of Columbia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jessie_K._Liu_official_photo.jpg/220px-Jessie_K._Liu_official_photo.jpg,2017/09/24,1973/01/02,47,Kingsville,female,"Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,1,0,1,0,0,NA,NA,1,1,NA,NA
57,"Andrew B. Birge",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/pixels_200/public/pages/images/2017/11/17/abirge1.jpg?itok=1tWtiXdq,NA,NA,NA,NA,NA,"Carleton College",NA,NA,"Columbia University",-0.882,3,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
58,"Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ron_A._Parsons_Jr._Official_Portrait.png/220px-Ron_A._Parsons_Jr._Official_Portrait.png,2018/01/05,NA,NA,,male,"University of Minnesota",NA,NA,"University of South Dakota",0.061,157,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
59,"Aaron L. Weisman","U.S. Attorney for the District of Rhode Island",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aaron_Weisman_RI_2.jpg/220px-Aaron_Weisman_RI_2.jpg,2019/01/14,1965/01/01,55,,male,"Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,Republican,0,0,0,0,1,NA,NA,NA,NA,NA,NA
60,"David C. Joseph","U.S. Attorney for the W.D. of Louisiana",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/David_C._Joseph_official_photo.jpg/220px-David_C._Joseph_official_photo.jpg,2018/04/03,1977/05/06,43,Dallas,male,"University of Oklahoma",NA,NA,"Louisiana State University",0.278,102,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
61,"Stephen McAllister","U.S. Attorney for the District of Kansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg,2018/01/25,NA,NA,,male,"University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
