agency_name,position_title,attorney,title,employer,Firm conservative score,start_date,end_date
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Adjunct Professsor of Law,Pepperdine University School of Law,,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,POET LLC,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Co-Founder,"Preconcile, LLC",,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Publix Supermarkets,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Qualcomm Inc.,,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Questar Corporation,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,QVT Financial,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,R.J. Reynolds Tobacco Company,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),R.J. Reynolds Tobacco Company,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Republican National Committee,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Retail Litigation Center,,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,"Reynolds American, Inc.",,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),"Reynolds American, Inc.",,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,Robert F. McDonnell,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Co-Trustee,S.E. 2012 Family Trust 1,,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,"SAIC, Inc.",,2017,
Justice,Attorney General,Jefferson B. Sessions,Member of Board of Overseers,Samford University,,,
Justice,Attorney General,William P. Barr,Associate,Shaw Pittman LLP,,1978,1982
Justice,Attorney General,William P. Barr,Partner,Shaw Pittman LLP,,1993,1994
Justice,Attorney General,William P. Barr,Partner,Shaw Pittman LLP,,1984,1989
Justice,Attorney General,Jefferson B. Sessions,Attorney General,State of Alabama,,1995,1997
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,State Policy Network,,2017,
Justice,Attorney General,Jefferson B. Sessions,Attorney,Stockman & Bedsole,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,"Sullivan Farms II, Inc.",,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Takata Corporation,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Texas Roadhouse,,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,The Internet Corporation for Assigned Names and Numbers,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,The Museum of the Bible,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,Assistant Counsel to the President,The White House,,2001,2001
Justice,Principal Deputy Solicitor General,Noel Francisco,Associate Counsel to the President,The White House,,2001,2003
,,Jeffrey A. Rosen,General Counsel,The White House,,2006,2009
Justice,Attorney General,William P. Barr,Staff,The White House,,1982,1983
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,"Thru, Inc.",,2017,
Justice,Attorney General,William P. Barr,Board Member,Time Warner Inc,,2009,2018
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Attorney,"Trump for America, Inc.",,2017,
