item,itemLabel,educated_at,educated_atLabel,degree,graduated,law rank,law conservative score,undergrad rank,notes
http://www.wikidata.org/entity/Q42422254,Robert M. Duncan Jr.,http://www.wikidata.org/entity/Q7895594,University of Kentucky,JD,,92,0.039,,
http://www.wikidata.org/entity/Q55238025,Matthew J. Schneider,http://www.wikidata.org/entity/Q911830,University of Michigan,JD,,8,-0.776,,
http://www.wikidata.org/entity/Q47484556,Matthew Krueger,http://www.wikidata.org/entity/Q7895798,University of Minnesota,JD,,24,-0.907,,
http://www.wikidata.org/entity/Q30453230,D. Michael Dunavant,http://www.wikidata.org/entity/Q14693404,University of Mississippi,JD,1995,92,0.406,,
,William C. Lamar,,University of Mississippi,JD,,92,0.406,,
http://www.wikidata.org/entity/Q48926405,Timothy A. Garrison,http://www.wikidata.org/entity/Q7895840,University of Missouri,JD,,77,-0.197,,
http://www.wikidata.org/entity/Q48977188,Joseph P. Kelly,,University of Nebraska,JD,,88,-0.005,,
http://www.wikidata.org/entity/Q45914636,Scott W. Murray,,University of New Hampshire,JD,1981,88,-0.14,,
http://www.wikidata.org/entity/Q42319382,R. Andrew Murray,http://www.wikidata.org/entity/Q167102,"University of North Carolina, Chapel Hill",JD,1992,43,-0.391,,
http://www.wikidata.org/entity/Q43380464,Matthew Martin,http://www.wikidata.org/entity/Q167102,"University of North Carolina, Chapel Hill",JD,2004,43,-0.391,,
http://www.wikidata.org/entity/Q40460795,R. Trent Shores,,University of Oklahoma,JD,,77,0.062,,
http://www.wikidata.org/entity/Q42310535,Andrew Lelling,http://www.wikidata.org/entity/Q7896088,University of Pennsylvania,JD,1994,6,-0.865,,
http://www.wikidata.org/entity/Q48927544,Kenji M. Price,http://www.wikidata.org/entity/Q7896088,University of Pennsylvania,JD,,6,-0.865,,
http://www.wikidata.org/entity/Q55238022,Robert S. Brewer Jr.,http://www.wikidata.org/entity/Q7896235,University of San Diego,JD,1975,58,-0.256,,
http://www.wikidata.org/entity/Q51858469,Sherri Lydon,http://www.wikidata.org/entity/Q7896321,University of South Carolina,JD,1987,92,0.171,,
http://www.wikidata.org/entity/Q33633456,Ron A. Parsons Jr.,,University of South Dakota,JD,1997,157,0.061,,
http://www.wikidata.org/entity/Q5300793,Doug Overbey,,"University of Tennessee, Knoxville",JD,1979,64,-0.267,,
http://www.wikidata.org/entity/Q45713701,Erin Nealy Cox,http://www.wikidata.org/entity/Q49213,"University of Texas, Austin",JD,,15,-0.165,,
http://www.wikidata.org/entity/Q32034550,Brian Kuester,,University of Tulsa,JD,2000,102,-0.109,,
http://www.wikidata.org/entity/Q30529752,John W. Huber,,University of Utah,JD,1995,58,-0.487,,
http://www.wikidata.org/entity/Q38831261,Bryan Schroder,http://www.wikidata.org/entity/Q7348679,University of Washington,JD,1991,29,-0.806,,
http://www.wikidata.org/entity/Q38946601,Donald Q. Cochran,http://www.wikidata.org/entity/Q7914456,Vanderbilt University,JD,,15,-0.556,,
http://www.wikidata.org/entity/Q41536729,Robert Higdon Jr.,http://www.wikidata.org/entity/Q7960935,Wake Forest University,JD,1989,36,-0.349,,
http://www.wikidata.org/entity/Q55238029,Peter G. Strasser,http://www.wikidata.org/entity/Q7972542,Washington and Lee University,JD,,29,-0.401,,
,Gretchen C.F. Shappert,,Washington and Lee University,JD,1980,29,-0.401,,
http://www.wikidata.org/entity/Q5307301,Drew Wrigley,,American University,JD,1991,64,-0.834,,
http://www.wikidata.org/entity/Q64747678,W. Stephen Muldrow,http://www.wikidata.org/entity/Q167049,American University,JD,1989,64,-0.834,,
http://www.wikidata.org/entity/Q40222043,Peter Deegan,http://www.wikidata.org/entity/Q7976643,Wayne State University,JD,1995,64,-0.311,,
http://www.wikidata.org/entity/Q43381318,William J. Powell,http://www.wikidata.org/entity/Q7986925,West Virginia University,JD,1985,115,-0.204,,
http://www.wikidata.org/entity/Q45915219,David C. Weiss,,Widener University,JD,,173,-0.229,,
http://www.wikidata.org/entity/Q48471887,Billy J. Williams,http://www.wikidata.org/entity/Q8003310,Willamette University,JD,1989,136,-0.571,,
,Shawn N. Anderson,,Willamette University,JD,,136,-0.571,,
http://www.wikidata.org/entity/Q48926392,Thomas T. Cullen,http://www.wikidata.org/entity/Q8003845,William & Mary,JD,2004,36,-0.414,,
http://www.wikidata.org/entity/Q55584793,G. Zachary Terwilliger,http://www.wikidata.org/entity/Q8003845,William & Mary,JD,,36,-0.414,,
http://www.wikidata.org/entity/Q39439933,J. Cody Hiland,,"University of Arkansas, Little Rock",JD,1998,148,-0.29,,
http://www.wikidata.org/entity/Q32059635,Jessie K. Liu,http://www.wikidata.org/entity/Q1143289,Yale University,JD,1998,1,-0.913,,
http://www.wikidata.org/entity/Q53062078,Maria Chapa Lopez,,The Judge Advocate General's Legal Center and School,LLM,,,,,
http://www.wikidata.org/entity/Q64747678,W. Stephen Muldrow,,American University School of International Service,MA,1989,,,,
http://www.wikidata.org/entity/Q61941673,Timothy J. Downing,http://www.wikidata.org/entity/Q3121493,Oral Roberts University,MMgt,,,,,
http://www.wikidata.org/entity/Q55238023,Jason R. Dunn,,University of Colorado,MPA,,,,,
http://www.wikidata.org/entity/Q48926405,Timothy A. Garrison,http://www.wikidata.org/entity/Q579968,University of Missouri,MPA,,,,,
http://www.wikidata.org/entity/Q45914636,Scott W. Murray,,University of New Hampshire,MPA,1978,,,,
http://www.wikidata.org/entity/Q63700125,William D. Hyslop,,University of Washington,MPA,1977,,,,
http://www.wikidata.org/entity/Q30519351,Justin Herdman,http://www.wikidata.org/entity/Q192775,University of Glasgow,MPhil,1998,,,,
http://www.wikidata.org/entity/Q30508807,Louis V. Franklin Sr.,,Auburn University at Montgomery,MS,1983,,,,
http://www.wikidata.org/entity/Q44532195,Erin Nealy Cox,,McCombs School of Business,,,,,,
,Steven D. Weinhoeft,,,,,,,,
