District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,United States Attorney's Office for the Central District of California,Assistant US Attorney,,1977,1982,
U.S. Attorney for the District of South Dakota,Q33633456,Ron A. Parsons Jr.,Johnson Heidepriem & Abdallah LLP,Partner,,,2017,
U.S. Attorney for the District of South Dakota,Q33633456,Ron A. Parsons Jr.,United States Court of Appeals for the Eighth Circuit,Law Clerk,,,,
U.S. Attorney for the W.D. of Kentucky,Q40338033,Russell Coleman,(US) Federal Bureau of Investigation,Special Agent,,,,
U.S. Attorney for the W.D. of Kentucky,Q40338033,Russell Coleman,Frost Brown Todd LLC,Associate,0.225,2015,2017,
U.S. Attorney for the W.D. of Kentucky,Q40338033,Russell Coleman,United States Senate,Counsel,,2010,2015,
U.S. Attorney for the S.D. of Texas,Q46303027,Ryan Patrick,County of Harris TX,Assistant District Attorney,,2005,2012,
U.S. Attorney for the S.D. of Texas,Q46303027,Ryan Patrick,Harris County Republican Party,Political Director,,2002,2004,
U.S. Attorney for the S.D. of Texas,Q46303027,Ryan Patrick,Hoover Slovacek LLP,Senior Counsel,,2017,2017,
U.S. Attorney for the S.D. of Texas,Q46303027,Ryan Patrick,Private Practice,Sole Practioner,,2017,2017,
U.S. Attorney for the S.D. of Texas,Q46303027,Ryan Patrick,Texas 177th District Court ,District Court Judge,,2012,2016,
U.S. Attorney for the W.D. of Wisconsin,Q42353365,Scott Blader,County of Waushara WI,District Attorney,,2007,2017,
U.S. Attorney for the W.D. of Wisconsin,Q42353365,Scott Blader,Private Practice,Attorney,,1999,2007,
U.S. Attorney for the W.D. of Pennsylvania,Q48740794,Scott Brady,Federated Investors Inc,Corporate Counsel,,,2017,
U.S. Attorney for the W.D. of Pennsylvania,Q48740794,Scott Brady,Jones Day LLP,Associate,-0.213,,,
U.S. Attorney for the W.D. of Pennsylvania,Q48740794,Scott Brady,Reed Smith LLP,Attorney,-0.443,,,
