"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"47","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","12/11/2017",NA,NA,"","male",0,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,0
"48","John C. Anderson","U.S. Attorney for the District of New Mexico","prosecutor","2/23/2018","1975-01-01",45,"Smithtown","male",0,"Republican","Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"49","John C. Demers","Assistant Attorney General for the National Security Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"50","John C. Milhiser","U.S. Attorney for the C.D. of Illinois","prosecutor","10/31/2018",NA,NA,"United States of America","male",0,"Republican","James Madison University",NA,NA,"University of Illinois",-0.865,36,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"51","John Durham","U.S. Attorney for the District of Connecticut","prosecutor","2/22/2018","1950-01-01",70,"Boston","male",0,"None","Colgate University",NA,NA,"University of Connecticut",-0.654,64,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"52","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","11/22/2017","1970-01-01",50,"Joliet","male",0,"None","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"53","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","6/1/2015","1967-01-01",53,"Salt Lake City","male",0,NA,"University of Utah",NA,NA,"University of Utah",-0.487,58,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"54","Joseph D. Brown","U.S. Attorney for the E.D. of Texas","prosecutor","2/26/2018","1970-01-01",50,"Sherman","male",0,"Republican","University of Texas at Austin",NA,NA,"Southern Methodist University",0.029,43,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,1,NA,0,1
"55","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,0
"56","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2/23/2018","1956-01-01",64,"Lexington","male",0,"Republican","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"57","Joshua Minkler","U.S. Attorney for the S.D. of Indiana","prosecutor","10/10/2017","1963-03-14",57,"","male",0,NA,"Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"58","Justin Herdman","U.S. Attorney for the N.D. of Ohio","prosecutor","8/21/2017",NA,NA,"","male",0,NA,"Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,1,0
"59","Kenji M. Price","U.S. Attorney for the District of Hawaii","prosecutor","1/5/2018","1980-01-01",40,"Port Jervis","male",0,"Republican","Gonzaga University",NA,NA,"University of Pennsylvania",-0.865,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,1
"60","Kurt Alme","U.S. Attorney for the District of Montana","prosecutor","9/21/2017",NA,NA,"Miles City","male",0,"Republican","University of Colorado",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"61","Larry Keefe","U.S. Attorney for the N.D. of Florida","prosecutor","1/9/2019","1961-12-30",58,"Fort Dix","male",0,"Democrat","University of Florida",NA,NA,"University of Florida",-0.214,29,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
