item,itemLabel,class,classLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,place_of_birth,place_of_birthLabel,occupation,occupationLabel,educated_at,educated_atLabel
http://www.wikidata.org/entity/Q48926392,Thomas T. Cullen,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q43421,Richmond,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q8003845,William & Mary School of Law
http://www.wikidata.org/entity/Q48926405,Timothy A. Garrison,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1976-01-01T00:00:00Z,http://www.wikidata.org/entity/Q462184,Urbana,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q579968,University of Missouri
http://www.wikidata.org/entity/Q48926405,Timothy A. Garrison,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1976-01-01T00:00:00Z,http://www.wikidata.org/entity/Q462184,Urbana,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q5309401,Drury University
http://www.wikidata.org/entity/Q48926405,Timothy A. Garrison,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1976-01-01T00:00:00Z,http://www.wikidata.org/entity/Q462184,Urbana,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895840,University of Missouri School of Law
http://www.wikidata.org/entity/Q48926431,Nicola T. Hanna,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1961-09-19T00:00:00Z,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q622664,"University of California, San Diego"
http://www.wikidata.org/entity/Q48926431,Nicola T. Hanna,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1961-09-19T00:00:00Z,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q846101,Georgetown University Law Center
http://www.wikidata.org/entity/Q48926975,David C. Joseph,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1977-05-06T00:00:00Z,http://www.wikidata.org/entity/Q16557,Dallas,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q640652,University of Oklahoma
http://www.wikidata.org/entity/Q48926975,David C. Joseph,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1977-05-06T00:00:00Z,http://www.wikidata.org/entity/Q16557,Dallas,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7152118,Paul M. Hebert Law Center
http://www.wikidata.org/entity/Q48927544,Kenji M. Price,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1980-01-01T00:00:00Z,http://www.wikidata.org/entity/Q976675,Port Jervis,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7896088,University of Pennsylvania Law School
http://www.wikidata.org/entity/Q48977188,Joseph P. Kelly,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q959410,Lexington,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1202716,University of Nebraska system
http://www.wikidata.org/entity/Q51741273,Erica MacDonald,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,http://www.wikidata.org/entity/Q981771,DeSoto,http://www.wikidata.org/entity/Q16533,judge,http://www.wikidata.org/entity/Q178848,University of Notre Dame
http://www.wikidata.org/entity/Q51741273,Erica MacDonald,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,http://www.wikidata.org/entity/Q981771,DeSoto,http://www.wikidata.org/entity/Q16533,judge,http://www.wikidata.org/entity/Q5244034,DePaul University College of Law
http://www.wikidata.org/entity/Q51858469,Sherri Lydon,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,1962-02-21T00:00:00Z,http://www.wikidata.org/entity/Q6948590,Myrtle Beach Air Force Base,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7896321,University of South Carolina School of Law
http://www.wikidata.org/entity/Q53062078,Maria Chapa Lopez,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q2140391,University of Texas System
http://www.wikidata.org/entity/Q53062078,Maria Chapa Lopez,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7568638,South Texas College of Law
http://www.wikidata.org/entity/Q53063726,Brian T. Moran,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1357891,Middlebury College
http://www.wikidata.org/entity/Q54951622,Ariana Fajardo Orshan,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,,,http://www.wikidata.org/entity/Q16533,judge,http://www.wikidata.org/entity/Q1065809,Florida International University
http://www.wikidata.org/entity/Q54951622,Ariana Fajardo Orshan,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,,,,http://www.wikidata.org/entity/Q16533,judge,http://www.wikidata.org/entity/Q1798499,Nova Southeastern University
http://www.wikidata.org/entity/Q55238022,Robert S. Brewer Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-01-01T00:00:00Z,http://www.wikidata.org/entity/Q33486,Hartford,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1411093,St. Lawrence University
http://www.wikidata.org/entity/Q55238022,Robert S. Brewer Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1946-01-01T00:00:00Z,http://www.wikidata.org/entity/Q33486,Hartford,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7896235,University of San Diego School of Law
http://www.wikidata.org/entity/Q55238023,Jason R. Dunn,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1206658,University of Colorado
http://www.wikidata.org/entity/Q55238025,Matthew J. Schneider,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q270222,Michigan State University
http://www.wikidata.org/entity/Q55238025,Matthew J. Schneider,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q911830,University of Michigan Law School
http://www.wikidata.org/entity/Q55238029,Peter G. Strasser,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q213439,University of Virginia
http://www.wikidata.org/entity/Q55238029,Peter G. Strasser,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7972542,Washington and Lee University School of Law
http://www.wikidata.org/entity/Q55584793,G. Zachary Terwilliger,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1985-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q213439,University of Virginia
http://www.wikidata.org/entity/Q55584793,G. Zachary Terwilliger,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1985-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",http://www.wikidata.org/entity/Q758225,attorney at law,http://www.wikidata.org/entity/Q213439,University of Virginia
http://www.wikidata.org/entity/Q55584793,G. Zachary Terwilliger,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1985-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",http://www.wikidata.org/entity/Q883231,law clerk,http://www.wikidata.org/entity/Q213439,University of Virginia
