"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"206","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","United States Attorney's Office for the District of Delaware",NA,2011,2017,NA,NA,NA,NA,NA,NA
"207","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","United States Attorney's Office for the District of Delaware",NA,2009,2011,NA,NA,NA,NA,NA,NA
"208","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","United States Attorney's Office for the District of Delaware",NA,2007,2009,NA,NA,NA,NA,NA,NA
"209","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","United States Attorney's Office for the District of Delaware",NA,1986,1989,NA,NA,NA,NA,NA,NA
"210","Shawn N. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,"Oregon State University",NA,NA,"Willamette University",-0.571,136,NA,NA,"United States Attorney's Office for the District of Guam & Northern Mariana Islands",NA,NA,2017,NA,NA,NA,NA,NA,NA
"211","Halsey Frank","U.S. Attorney for the District of Maine","prosecutor","2017-10-10",NA,NA,"","male","Wesleyan University",NA,NA,"Boston University",-0.93,19,0,NA,"United States Attorney's Office for the District of Maine",NA,1999,2017,NA,NA,NA,NA,NA,NA
"212","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the District of Maryland",NA,2007,2014,NA,NA,NA,NA,NA,NA
"213","Andrew Lelling","U.S. Attorney for the District of Massachusetts","prosecutor","2017-12-21","1970-01-01",50,"","male","Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","United States Attorney's Office for the District of Massachusetts",NA,NA,2017,NA,NA,1,NA,NA,NA
"214","Kurt Alme","U.S. Attorney for the District of Montana","prosecutor","2017-09-21",NA,NA,"Miles City","male","University of Colorado",NA,NA,"Harvard University",-0.816,1,0,"Republican","United States Attorney's Office for the District of Montana",NA,2006,2010,NA,NA,NA,NA,NA,NA
"215","Kurt Alme","U.S. Attorney for the District of Montana","prosecutor","2017-09-21",NA,NA,"Miles City","male","University of Colorado",NA,NA,"Harvard University",-0.816,1,0,"Republican","United States Attorney's Office for the District of Montana",NA,2001,2006,NA,NA,NA,NA,NA,NA
"216","Craig Carpenito","U.S. Attorney for the District of New Jersey","prosecutor",NA,"1973-08-01",47,"","male","Rider University",NA,NA,"Seton Hall University School of Law",-0.467,64,NA,NA,"United States Attorney's Office for the District of New Jersey",NA,2005,2008,NA,NA,NA,NA,NA,NA
"217","John C. Anderson","U.S. Attorney for the District of New Mexico","prosecutor","2018-02-23","1975-01-01",45,"Smithtown","male","Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,"Republican","United States Attorney's Office for the District of New Mexico",NA,2008,2013,NA,NA,NA,NA,NA,NA
"218","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","2019-04-17","1965-10-10",55,"Bismarck","male","University of North Dakota",NA,NA,"American University",-0.834,64,1,"Republican","United States Attorney's Office for the District of North Dakota",NA,2001,2009,NA,NA,NA,NA,1,NA
"219","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,2015,NA,NA,NA,NA,NA,NA,NA
"220","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,2015,2015,NA,NA,NA,NA,NA,NA
"221","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,2010,2015,NA,NA,NA,NA,NA,NA
"222","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,2007,2010,NA,NA,NA,NA,NA,NA
"223","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,2000,2007,NA,NA,NA,NA,NA,NA
"224","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,1988,1989,NA,NA,NA,NA,NA,NA
"225","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","United States Attorney's Office for the District of Oregon",NA,1987,1988,NA,NA,NA,NA,NA,NA
"226","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Attorney's Office for the District of Puerto Rico",NA,1995,2001,NA,NA,NA,NA,NA,NA
"227","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","United States Attorney's Office for the District of South Carolina",NA,2018,2019,NA,NA,NA,NA,NA,NA
"228","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","United States Attorney's Office for the District of South Carolina",NA,1990,1993,NA,NA,NA,NA,NA,NA
"229","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"United States Attorney's Office for the District of Utah",NA,2012,2015,NA,NA,NA,NA,NA,NA
"230","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"United States Attorney's Office for the District of Utah",NA,2005,2012,NA,NA,NA,NA,NA,NA
"231","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"United States Attorney's Office for the District of Utah",NA,2002,2005,NA,NA,NA,NA,NA,NA
"232","Christina E. Nolan","U.S. Attorney for the District of Vermont","prosecutor","2017-11-27","1979-01-01",41,"Burlington","female","University of Vermont",NA,NA,"Boston College",-0.82,24,0,"None","United States Attorney's Office for the District of Vermont",NA,2010,2017,NA,NA,NA,NA,NA,NA
"233","Mark Klassen",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the District of Wyoming",NA,NA,2017,NA,NA,NA,NA,NA,NA
"234","McGregor W. Scott","U.S. Attorney for the E.D. of California","prosecutor","2017-12-29","1962-01-01",58,"Mountain View","male","Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,"Republcian","United States Attorney's Office for the Eastern District of California",NA,2003,2009,NA,NA,1,NA,NA,NA
"235","Robert M. Duncan Jr.","U.S. Attorney for the E.D. of Kentucky","prosecutor","2017-11-21","1978-01-01",42,"Ashland","male","Centre College",NA,NA,"University of Kentucky",0.039,92,0,"Republcian","United States Attorney's Office for the Eastern District of Kentucky",NA,2005,2017,NA,NA,1,NA,NA,NA
"236","Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana","prosecutor","2018-09-10",NA,NA,"","male","University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,NA,"United States Attorney's Office for the Eastern District of Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Peter Deegan","U.S. Attorney for the N.D. of Iowa","prosecutor","2017-09-21","1970-01-01",50,"Port Huron","male","University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,"Republican","United States Attorney's Office for the Eastern District of Michigan",NA,2004,2006,NA,NA,NA,NA,NA,NA
"238","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"United States Attorney's Office for the Eastern District of Michigan",NA,2003,2011,NA,NA,1,NA,NA,NA
"239","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","2017-10-06",NA,NA,"","male","Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,"United States Attorney's Office for the Eastern District of Missouri",NA,2006,2009,NA,NA,NA,NA,NA,NA
"240","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","2017-10-06",NA,NA,"","male","Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,"United States Attorney's Office for the Eastern District of Missouri",NA,1999,2006,NA,NA,NA,NA,NA,NA
"241","Richard Donoghue",NA,"prosecutor",NA,NA,NA,NA,NA,"Hofstra University",NA,NA,"St. John’s University, New York, NY",-0.483,58,NA,NA,"United States Attorney's Office for the Eastern District of New York",NA,2000,2011,NA,NA,NA,NA,NA,NA
"242","Robert Higdon Jr.","U.S. Attorney for the E.D. of North Carolina","prosecutor","2017-10-10",NA,NA,"","male","Wake Forest University",NA,NA,"Wake Forest University",-0.349,36,0,NA,"United States Attorney's Office for the Eastern District of North Carolina",NA,2002,2013,NA,NA,NA,NA,NA,NA
"243","William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania","prosecutor","2018-04-06","1969-01-01",51,"Philadelphia","male","Yale University",NA,NA,"Harvard University",-0.816,1,0,"Republican","United States Attorney's Office for the Eastern District of Pennsylvania",NA,2003,2006,NA,NA,1,NA,NA,NA
"244","G. Zachary Terwilliger","U.S. Attorney for the E.D. of Virginia","prosecutor","2018-05-25","1985-01-01",35,"Washington, D.C.","male","University of Virginia",NA,NA,"William & Mary",-0.414,36,0,NA,"United States Attorney's Office for the Eastern District of Virginia",NA,2010,NA,NA,NA,1,NA,NA,NA
"245","William D. Hyslop","U.S. Attorney for the E.D. of Washington","prosecutor","2019-07-18","1951-01-01",69,"Spokane","male","Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,"United States Attorney's Office for the Eastern District of Washington",NA,1991,1993,NA,NA,NA,NA,NA,NA
"246","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","2017-09-21","1958-01-01",62,"Montgomery","male","University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,"United States Attorney's Office for the Middle District of Alabama",NA,2001,2017,NA,NA,NA,NA,NA,NA
"247","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","2017-09-21","1958-01-01",62,"Montgomery","male","University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,"United States Attorney's Office for the Middle District of Alabama",NA,1998,2001,NA,NA,NA,NA,NA,NA
"248","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","2017-09-21","1958-01-01",62,"Montgomery","male","University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,"United States Attorney's Office for the Middle District of Alabama",NA,1990,1996,NA,NA,NA,NA,NA,NA
"249","Maria Chapa Lopez","U.S. Attorney for the M.D. of Florida","prosecutor","2018-01-05",NA,NA,"","female","University of Texas","The Judge Advocate General's Legal Center and School",NA,"South Texas College of Law",-0.08,148,0,"Republican","United States Attorney's Office for the Middle District of Florida",NA,2000,2016,NA,NA,NA,NA,NA,NA
"250","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Attorney's Office for the Middle District of Florida",NA,2018,2019,NA,NA,NA,NA,NA,NA
"251","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Attorney's Office for the Middle District of Florida",NA,2017,2018,NA,NA,NA,NA,NA,NA
"252","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Attorney's Office for the Middle District of Florida",NA,2013,2017,NA,NA,NA,NA,NA,NA
"253","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","2019-10-04","1964-06-15",56,"","male","Bucknell University","American University School of International Service",NA,"American University",-0.834,64,1,NA,"United States Attorney's Office for the Middle District of Florida",NA,2001,2013,NA,NA,NA,NA,NA,NA
"254","Brandon Fremin",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Middle District of Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"United States Attorney's Office for the Northern District of Alabama",NA,1998,2002,NA,NA,1,NA,NA,NA
"256","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Northern District of California",NA,2008,2010,NA,NA,NA,NA,NA,NA
"257","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Northern District of California",NA,1998,2002,NA,NA,NA,NA,NA,NA
"258","B.J. Pak",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Northern District of Georgia",NA,2002,2008,NA,NA,NA,NA,NA,NA
"259","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","2017-11-22","1970-01-01",50,"Joliet","male","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,"None","United States Attorney's Office for the Northern District of Illinois",NA,2005,2010,NA,NA,NA,NA,NA,NA
"260","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","2017-11-22","1970-01-01",50,"Joliet","male","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,"None","United States Attorney's Office for the Northern District of Illinois",NA,1999,2005,NA,NA,NA,NA,NA,NA
"261","Marc Krickbaum","U.S. Attorney for the S.D. of Iowa","prosecutor","2017-10-02","1979-01-01",41,"Waco","male","University of Iowa",NA,NA,"Harvard University",-0.816,1,0,"None","United States Attorney's Office for the Northern District of Illinois",NA,NA,2017,NA,NA,NA,NA,NA,NA
"262","Erica MacDonald","U.S. Attorney for the District of Minnesota","prosecutor","2018-06-11",NA,NA,"DeSoto","female","University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,"Republican","United States Attorney's Office for the Northern District of Illinois",NA,2000,2009,NA,NA,NA,NA,NA,NA
"263","Thomas Kirsch","U.S. Attorney for the N.D. of Indiana","prosecutor","2017-10-10","1974-01-25",46,"","male","Indiana University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States Attorney's Office for the Northern District of Indiana",NA,2001,2008,NA,NA,NA,NA,NA,NA
"264","Peter Deegan","U.S. Attorney for the N.D. of Iowa","prosecutor","2017-09-21","1970-01-01",50,"Port Huron","male","University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,"Republican","United States Attorney's Office for the Northern District of Iowa",NA,2015,2017,NA,NA,NA,NA,NA,NA
"265","Peter Deegan","U.S. Attorney for the N.D. of Iowa","prosecutor","2017-09-21","1970-01-01",50,"Port Huron","male","University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,"Republican","United States Attorney's Office for the Northern District of Iowa",NA,2006,2015,NA,NA,NA,NA,NA,NA
"266","Peter Deegan","U.S. Attorney for the N.D. of Iowa","prosecutor","2017-09-21","1970-01-01",50,"Port Huron","male","University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,"Republican","United States Attorney's Office for the Northern District of Iowa",NA,1998,2004,NA,NA,NA,NA,NA,NA
"267","William C. Lamar","U.S. Attorney for the N.D. of Mississippi","prosecutor",NA,NA,NA,"","male","Millsaps College",NA,NA,"University of Mississippi",0.406,92,NA,NA,"United States Attorney's Office for the Northern District of Mississippi",NA,NA,2017,NA,NA,NA,NA,NA,NA
"268","William C. Lamar","U.S. Attorney for the N.D. of Mississippi","prosecutor",NA,NA,NA,"","male","Millsaps College",NA,NA,"University of Mississippi",0.406,92,NA,NA,"United States Attorney's Office for the Northern District of Mississippi",NA,1991,NA,NA,NA,NA,NA,NA,NA
"269","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"United States Attorney's Office for the Northern District of New York",NA,2010,2017,NA,NA,NA,NA,NA,NA
"270","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"United States Attorney's Office for the Northern District of New York",NA,1998,2006,NA,NA,NA,NA,NA,NA
"271","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"United States Attorney's Office for the Northern District of New York",NA,1989,1998,NA,NA,NA,NA,NA,NA
"272","Justin Herdman","U.S. Attorney for the N.D. of Ohio","prosecutor","2017-08-21",NA,NA,"","male","Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,NA,"United States Attorney's Office for the Northern District of Ohio",NA,2010,2013,NA,NA,1,NA,NA,NA
"273","R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma","prosecutor","2017-10-21",NA,NA,"","male","Vanderbilt University",NA,NA,"University of Oklahoma",0.062,77,0,"Republican","United States Attorney's Office for the Northern District of Oklahoma",NA,2007,2017,NA,NA,1,NA,NA,NA
"274","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","2017-11-17","1970-01-01",50,"Pascagoula","female",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,"None","United States Attorney's Office for the Northern District of Texas",NA,1999,2008,NA,NA,1,NA,NA,NA
"275","Richard W. Moore","U.S. Attorney for the S.D. of Alabama","prosecutor","2017-09-22","1952-01-01",68,"Bartow","male","Spring Hill College",NA,NA,"Cumberland University",0.382,148,0,"None","United States Attorney's Office for the Southern District of Alabama",NA,1985,2003,NA,NA,NA,NA,NA,NA
"276","Nicola T. Hanna","U.S. Attorney for the C.D. of California","prosecutor","2018-01-05","1961-09-19",59,"","male","University of California, San Diego",NA,NA,"Georgetown University",-0.821,15,0,"Republican","United States Attorney's Office for the Southern District of California",NA,1995,1998,NA,NA,NA,NA,NA,NA
"277","Michael Sherwin",NA,"prosecutor",NA,NA,NA,NA,NA,"Ohio State University",NA,NA,"University of Notre Dame",-0.196,21,NA,NA,"United States Attorney's Office for the Southern District of Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Steven D. Weinhoeft",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Southern District of Illinois",NA,2016,2018,NA,NA,NA,NA,NA,NA
"279","Steven D. Weinhoeft",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Southern District of Illinois",NA,2006,2016,NA,NA,NA,NA,NA,NA
"280","Joshua Minkler","U.S. Attorney for the S.D. of Indiana","prosecutor","2017-10-10","1963-03-14",57,"","male","Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,NA,"United States Attorney's Office for the Southern District of Indiana",NA,2015,2017,NA,NA,NA,NA,NA,NA
"281","Joshua Minkler","U.S. Attorney for the S.D. of Indiana","prosecutor","2017-10-10","1963-03-14",57,"","male","Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,NA,"United States Attorney's Office for the Southern District of Indiana",NA,2014,2015,NA,NA,NA,NA,NA,NA
"282","Joshua Minkler","U.S. Attorney for the S.D. of Indiana","prosecutor","2017-10-10","1963-03-14",57,"","male","Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,NA,"United States Attorney's Office for the Southern District of Indiana",NA,NA,2014,NA,NA,NA,NA,NA,NA
"283","Joshua Minkler","U.S. Attorney for the S.D. of Indiana","prosecutor","2017-10-10","1963-03-14",57,"","male","Wabash College",NA,NA,"Indiana University Bloomington",-0.713,115,0,NA,"United States Attorney's Office for the Southern District of Indiana",NA,1994,NA,NA,NA,NA,NA,NA,NA
"284","Marc Krickbaum","U.S. Attorney for the S.D. of Iowa","prosecutor","2017-10-02","1979-01-01",41,"Waco","male","University of Iowa",NA,NA,"Harvard University",-0.816,1,0,"None","United States Attorney's Office for the Southern District of Iowa",NA,2009,NA,NA,NA,NA,NA,NA,NA
"285","D. Michael Hurst Jr.","U.S. Attorney for the S.D. of Mississippi","prosecutor",NA,NA,NA,"Hickory","male","Millsaps College",NA,NA,"George Washington University",-0.841,21,NA,"Republican","United States Attorney's Office for the Southern District of Mississippi",NA,2006,2015,NA,NA,NA,NA,NA,NA
"286","Geoffrey Berman","U.S. Attorney for the S.D. of New York","prosecutor",NA,"1959-09-12",61,"Trenton","male","University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,NA,"Republican","United States Attorney's Office for the Southern District of New York",NA,1990,1994,NA,NA,1,NA,NA,NA
"287","Justin Herdman","U.S. Attorney for the N.D. of Ohio","prosecutor","2017-08-21",NA,NA,"","male","Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,NA,"United States Attorney's Office for the Southern District of Ohio",NA,2006,2010,NA,NA,1,NA,NA,NA
"288","David M. DeVillers","U.S. Attorney for the S.D. Ohio","prosecutor","2019-10-28",NA,NA,"","male","State University of New York at Oswego",NA,NA,"Capital University",-0.041,166,1,"Republican","United States Attorney's Office for the Southern District of Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","William Powell",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Southern District of West Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Clay Fowlkes",NA,"prosecutor",NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,102,NA,NA,"United States Attorney's Office for the Western District of Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Clay Fowlkes",NA,"prosecutor",NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,148,NA,NA,"United States Attorney's Office for the Western District of Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","David C. Joseph","U.S. Attorney for the W.D. of Louisiana","prosecutor","2018-04-03","1977-05-06",43,"Dallas","male","University of Oklahoma",NA,NA,"Louisiana State University",0.278,102,0,"Republican","United States Attorney's Office for the Western District of Louisiana",NA,NA,2018,NA,NA,NA,NA,NA,NA
"293","Andrew B. Birge",NA,"prosecutor",NA,NA,NA,NA,NA,"Carleton College",NA,NA,"Columbia University",-0.882,3,NA,NA,"United States Attorney's Office for the Western District of Michigan",NA,2007,2017,NA,NA,NA,NA,NA,NA
"294","Timothy A. Garrison","U.S. Attorney for the W.D. of Missouri","prosecutor","2018-01-05","1976-01-01",44,"Urbana","male","Drury University","University of Missouri",NA,"University of Missouri",-0.197,77,0,"Republican","United States Attorney's Office for the Western District of Missouri",NA,2007,2018,NA,NA,1,NA,NA,1
"295","James. P Kennedy",NA,"prosecutor",NA,NA,NA,NA,NA,"Hamilton College",NA,NA,"State University of New York at Buffalo",-0.413,115,NA,NA,"United States Attorney's Office for the Western District of New York",NA,2010,2016,NA,NA,NA,NA,NA,NA
"296","James. P Kennedy",NA,"prosecutor",NA,NA,NA,NA,NA,"Hamilton College",NA,NA,"State University of New York at Buffalo",-0.413,115,NA,NA,"United States Attorney's Office for the Western District of New York",NA,2007,2010,NA,NA,NA,NA,NA,NA
"297","James. P Kennedy",NA,"prosecutor",NA,NA,NA,NA,NA,"Hamilton College",NA,NA,"State University of New York at Buffalo",-0.413,115,NA,NA,"United States Attorney's Office for the Western District of New York",NA,2006,2007,NA,NA,NA,NA,NA,NA
"298","James. P Kennedy",NA,"prosecutor",NA,NA,NA,NA,NA,"Hamilton College",NA,NA,"State University of New York at Buffalo",-0.413,115,NA,NA,"United States Attorney's Office for the Western District of New York",NA,1992,2006,NA,NA,NA,NA,NA,NA
"299","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","2018-03-30","1977-01-01",43,"Richmond","male","Furman University",NA,NA,"William & Mary",-0.414,36,0,"None","United States Attorney's Office for the Western District of North Carolina",NA,NA,NA,NA,NA,1,NA,NA,1
"300","Gretchen C.F. Shappert",NA,"prosecutor",NA,NA,NA,NA,NA,"Duke University",NA,NA,"Washington and Lee University",-0.401,29,NA,NA,"United States Attorney's Office for the Western District of North Carolinia",NA,2004,2009,NA,NA,NA,NA,NA,NA
"301","Gretchen C.F. Shappert",NA,"prosecutor",NA,NA,NA,NA,NA,"Duke University",NA,NA,"Washington and Lee University",-0.401,29,NA,NA,"United States Attorney's Office for the Western District of North Carolinia",NA,1990,2004,NA,NA,NA,NA,NA,NA
"302","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","2017-12-22",NA,NA,"","male","Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,"United States Attorney's Office for the Western District of Pennsylvania",NA,2004,2010,NA,NA,NA,NA,NA,NA
"303","Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma","prosecutor","2019-06-05",NA,NA,"","male","University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,1,"Republican","United States Attorney's Office for the Western District of Texas",NA,2011,2016,NA,NA,1,NA,NA,NA
"304","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","2018-03-30","1977-01-01",43,"Richmond","male","Furman University",NA,NA,"William & Mary",-0.414,36,0,"None","United States Attorney's Office for the Western District of Virginia",NA,NA,NA,NA,NA,1,NA,NA,1
"305","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","2017-12-11",NA,NA,"","male","Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,"United States Court of Appeals for the District of Columbia Circuit",NA,2006,2007,NA,NA,1,NA,NA,NA
"306","Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota","prosecutor","2018-01-05",NA,NA,"","male","University of Minnesota",NA,NA,"University of South Dakota",0.061,157,0,"Republican","United States Court of Appeals for the Eighth Circuit",NA,NA,NA,NA,NA,NA,NA,NA,NA
