,person,position_current,source,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
75,"Christina E. Nolan","U.S. Attorney for the District of Vermont",prosecutor,2017/11/27,1979/01/01,41,Burlington,female,"University of Vermont",NA,NA,"Boston College Law School",57,24,0,None,NA,NA,NA,NA,NA,NA
76,"G. Zachary Terwilliger","U.S. Attorney for the E.D. of Virginia",prosecutor,2018/05/25,1985/01/01,35,"Washington, D.C.",male,"University of Virginia",NA,NA,"William & Mary School of Law",146,36,0,NA,NA,NA,1,NA,NA,NA
77,"Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia",prosecutor,2018/03/30,1977/01/01,43,Richmond,male,"Furman University",NA,NA,"William & Mary School of Law",146,36,0,None,NA,NA,1,NA,NA,1
78,"William D. Hyslop","U.S. Attorney for the E.D. of Washington",prosecutor,2019/07/18,1951/01/01,69,Spokane,male,"Washington State University","University of Washington",NA,"Gonzaga University School of Law",107,102,1,NA,NA,NA,NA,NA,NA,NA
79,"Brian T. Moran","U.S. Attorney for the W.D. of Washington",prosecutor,2019/01/17,NA,NA,NA,male,"Middlebury College",NA,NA,"Seattle University School of Law",14,102,0,NA,NA,NA,NA,NA,NA,NA
80,"William Powell",NA,prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Michael B. Stuart","U.S. Attorney for the S.D. of West Virginia",prosecutor,2018/01/09,1967/01/06,53,Philippi,male,"West Virginia University",NA,NA,"Boston University School of Law",21,19,0,Republican,NA,NA,NA,NA,NA,NA
82,"Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin",prosecutor,2018/02/23,1978/01/01,42,Milwaukee,male,"University of Wisconsin–Madison",NA,NA,"University of Minnesota Law School",44,24,0,Republican,NA,NA,1,NA,NA,NA
83,"Scott Blader","U.S. Attorney for the W.D. of Wisconsin",prosecutor,2017/11/22,1974/01/01,46,"Wild Rose",male,"University of Wisconsin-Oshkosh",NA,NA,"Marquette University Law School",126,102,0,Republican,NA,NA,NA,NA,NA,NA
84,"Mark Klassen",NA,prosecutor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy",justicedept,NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard Law School",25,1,NA,NA,NA,NA,1,1,NA,NA
87,"Brian Allen Benczkowski","Assistant Attorney General for the Criminal Division",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Jefferson B. Sessions","Attorney General",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Jeffrey A. Rosen",NA,justicedept,NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard Law School",25,1,NA,NA,NA,NA,NA,NA,NA,NA
92,"Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division",justicedept,NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University Law Center",38,15,NA,NA,NA,NA,1,1,NA,NA
93,"John C. Demers","Assistant Attorney General for the National Security Division",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Joseph H. Hunt","Assistant Attorney General for the Civil Division",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Makan Delrahim","Assistant Attorney General for the Antitrust Division",justicedept,NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University School of Law",112,21,NA,NA,NA,NA,1,NA,NA,NA
96,"Noel Francisco","Principal Deputy Solicitor General",justicedept,NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago Law School",108,4,NA,NA,NA,NA,1,1,NA,NA
97,"Rachel L. Brand","Associate Attorney General",justicedept,NA,NA,NA,NA,NA,"University of Minnesota - Morris",NA,NA,"Harvard Law School",25,1,NA,NA,NA,NA,1,NA,NA,NA
99,"Rod J. Rosenstein","Deputy Attorney General",justicedept,NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard Law School",25,1,NA,NA,NA,NA,1,1,NA,NA
101,"Stephen Boyd",NA,justicedept,NA,NA,NA,NA,NA,"University of Alabama",NA,NA,"University of Alabama School of Law",172,24,NA,NA,NA,NA,1,NA,NA,NA
102,"Steven A. Engel","Assistant Attorney General for the Office of the Legal Counsel",justicedept,NA,NA,NA,NA,NA,"Harvard University","University of Cambridge",NA,"Yale Law School",33,1,NA,NA,NA,NA,1,NA,NA,NA
103,"William P. Barr","Attorney General",justicedept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
